job_id,title,role_category,seniority,company,company_tier,industry,location,remote_type,is_remote,salary_min,salary_max,salary_midpoint,num_skills_required,yoe_min,yoe_max,education_required,visa_sponsorship,source,date_posted,days_since_posted,growth_trend,company_size_tier,year_month,week,salary_band,skills_list,num_skills,skills_clean,requires_python,requires_sql,requires_cloud,requires_llm,seniority_rank,salary_vs_median_pct,is_high_growth_role,is_fresh_posting,hiring_tier
bf658671-b58,Entry Level Data Scientist,Data Scientist,Entry Level,Netflix,FAANG+,Healthcare/BioTech,"New York, NY",Remote,True,172000.0,217000.0,200000.0,5,2,4,No Degree Required,No,Levels.fyi,2026-01-26,55,stable,FAANG+,2026-01,5,$170-210k,"['Scikit-Learn', 'Statistics', 'Airflow', 'B Testing', 'Snowflake']",5,Airflow|B Testing|Scikit-Learn|Snowflake|Statistics,False,False,False,False,1,1.3,False,False,Elite
5547140d-1da,Entry Level Data Engineer,Data Engineer,Entry Level,StreamBase,Startup,AI/ML Platform,"New York, NY",Remote,True,127000.0,164000.0,140000.0,7,0,1,Bachelor's Degree,No,LinkedIn,2026-03-07,15,high,Startup,2026-03,10,$110-140k,"['Dbt', 'Python', 'Kafka', 'Airflow', 'Spark', 'Snowflake', 'GCP']",7,Airflow|Dbt|GCP|Kafka|Python|Snowflake|Spark,True,False,True,False,1,-26.3,True,False,Early Stage
389d4d83-49f,AI/LLM Engineer,AI/LLM Engineer,Mid Level,Hugging Face,Scale-up,Logistics/Supply Chain,"New York, NY",Remote,True,,,385000.0,5,3,6,Bachelor's Degree,No,Glassdoor,2026-01-12,69,explosive,Scale-up,2026-01,3,$280k+,"['RAG', 'Python', 'Openai Api', 'Weaviate', 'GCP']",5,GCP|Openai Api|Python|RAG|Weaviate,True,False,True,True,2,24.2,True,False,High Growth
1e4dbe3a-038,Data Scientist,Data Scientist,Mid Level,SAP,Enterprise,Logistics/Supply Chain,"Austin, TX",On-site,False,90000.0,120000.0,105000.0,7,4,7,Bachelor's Degree,Yes,LinkedIn,2026-03-09,13,stable,Enterprise,2026-03,11,$80-110k,"['Scikit-Learn', 'Statistics', 'Python', 'B Testing', 'Sql', 'GCP']",6,B Testing|GCP|Python|Scikit-Learn|Sql|Statistics,True,False,True,False,2,-46.8,False,False,Stable
4b5f7fe8-eb3,Entry Level Data Platform Engineer,Data Platform Engineer,Entry Level,Scale AI,Scale-up,Logistics/Supply Chain,"Chicago, IL",Remote,True,,,140000.0,6,0,1,Bachelor's Degree,Yes,Indeed,2026-03-13,9,high,Scale-up,2026-03,11,$110-140k,"['Azure', 'Python', 'Kafka', 'Helm', 'Docker', 'Spark']",6,Azure|Docker|Helm|Kafka|Python|Spark,True,False,True,False,1,-39.1,True,False,High Growth
2df9cd86-111,Staff/Lead Data Analyst,Data Analyst,Staff/Lead,VectorSearch Co,Startup,FinTech,"New York, NY",Remote,True,,,175000.0,9,9,10,Bachelor's Degree,Yes,Glassdoor,2026-02-21,29,stable,Startup,2026-02,8,$170-210k,"['Google Sheets', 'Dbt', 'Looker', 'Python', 'Bigquery', 'Tableau', 'Redshift', 'Power Bi', 'Excel']",9,Bigquery|Dbt|Excel|Google Sheets|Looker|Power Bi|Python|Redshift|Tableau,True,False,False,False,4,40.0,False,False,Early Stage
3f36c4b4-bb8,Entry Level Machine Learning Engineer,Machine Learning Engineer,Entry Level,Airbyte,Scale-up,Logistics/Supply Chain,"New York, NY",On-site,False,151000.0,181000.0,170000.0,9,1,2,Bachelor's Degree,No,LinkedIn,2026-03-13,9,very_high,Scale-up,2026-03,11,$140-170k,"['Mlflow', 'Kubernetes', 'PyTorch', 'Scikit-Learn', 'Python', 'Docker', 'Aws Sagemaker', 'Tensorflow', 'Databricks']",9,Aws Sagemaker|Databricks|Docker|Kubernetes|Mlflow|PyTorch|Python|Scikit-Learn|Tensorflow,True,False,False,True,1,-24.4,True,False,High Growth
5bb45d8d-67e,Staff/Lead Data Engineer,Data Engineer,Staff/Lead,HubSpot,Mid-market,EdTech,"San Francisco, CA",Remote,True,279000.0,335000.0,310000.0,7,10,13,PhD Preferred,No,Company Website,2025-12-07,105,high,Mid-market,2025-12,49,$280k+,"['Dbt', 'Python', 'Kafka', 'Airflow', 'Spark', 'Sql', 'Snowflake']",7,Airflow|Dbt|Kafka|Python|Snowflake|Spark|Sql,True,False,False,False,4,63.2,True,False,Stable
adfe212f-3b1,Senior Data Scientist,Data Scientist,Senior,Anthropic,FAANG+,Healthcare/BioTech,"Chicago, IL",Remote,True,291000.0,401000.0,340000.0,7,7,8,Bachelor's Degree,Yes,LinkedIn,2026-02-14,36,stable,FAANG+,2026-02,7,$280k+,"['Scikit-Learn', 'Statistics', 'Jupyter', 'Python', 'B Testing', 'Sql']",6,B Testing|Jupyter|Python|Scikit-Learn|Sql|Statistics,True,False,False,False,3,72.2,False,False,Elite
2c3a1b0d-16c,Machine Learning Engineer,Machine Learning Engineer,Mid Level,Twilio,Mid-market,InsurTech,"San Francisco, CA",Hybrid,False,,,345000.0,8,3,5,No Degree Required,No,Glassdoor,2026-03-18,4,very_high,Mid-market,2026-03,12,$280k+,"['Mlflow', 'PyTorch', 'Scikit-Learn', 'Python', 'Git', 'Docker', 'Aws Sagemaker', 'Tensorflow']",8,Aws Sagemaker|Docker|Git|Mlflow|PyTorch|Python|Scikit-Learn|Tensorflow,True,False,False,True,2,53.3,True,True,Stable
